,names,scores,pvals,pvals_adj
6137,PLXDC2,1.5774615,0.1146893699,1
6138,CFI,1.5743009,0.1154179022,1
6139,CDH13,1.5690331,0.1166402036,1
6140,KDR,1.5410559,0.1233031916,1
6141,PPARG,1.5399632,0.1235692997,1
6142,CEP68,1.5327446,0.1253387957,1
6143,MALAT1,1.527711,0.126584303,1
6144,ITGA6,1.5213507,0.1281718387,1
6145,RAPGEF2,1.490525,0.1360862587,1
6146,DICER1,1.4747219,0.1402873366,1
6147,RP11-417J8.6,1.4345703,0.1514095886,1
6148,PPFIBP1,1.4323071,0.1520559462,1
6149,F11R,1.4303561,0.1526148353,1
6150,TMEM100,1.4207963,0.1553760097,1
6151,ADCY4,1.4199377,0.1556257957,1
6152,EFNA1,1.4189233,0.15592139,1
6153,AQP7,1.4168552,0.1565252668,1
6154,CCNY,1.4015983,0.1610352108,1
6155,CA4,1.3799033,0.1676164324,1
6156,RIMKLB,1.379396,0.1677726915,1
